protein	synthesis rate (nmol protein/mmol c6 unit)
PROSYN-Clo1313_0011      	 4.44599781E-01
PROSYN-Clo1313_0020      	 0.00000000E+00
PROSYN-Clo1313_0021      	 0.00000000E+00
PROSYN-Clo1313_0022      	 0.00000000E+00
PROSYN-Clo1313_0023      	 0.00000000E+00
PROSYN-Clo1313_0030      	 3.94609799E-01
PROSYN-Clo1313_0034      	 0.00000000E+00
PROSYN-Clo1313_0046      	 0.00000000E+00
PROSYN-Clo1313_0061      	 0.00000000E+00
PROSYN-Clo1313_0062      	 0.00000000E+00
PROSYN-Clo1313_0063      	 0.00000000E+00
PROSYN-Clo1313_0064      	 0.00000000E+00
PROSYN-Clo1313_0065      	 0.00000000E+00
PROSYN-Clo1313_0066      	 0.00000000E+00
PROSYN-Clo1313_0068      	 0.00000000E+00
PROSYN-Clo1313_0073      	 0.00000000E+00
PROSYN-Clo1313_0074      	 0.00000000E+00
PROSYN-Clo1313_0075      	 0.00000000E+00
PROSYN-Clo1313_0076      	 0.00000000E+00
PROSYN-Clo1313_0077      	 0.00000000E+00
PROSYN-Clo1313_0078      	 0.00000000E+00
PROSYN-Clo1313_0079      	 0.00000000E+00
PROSYN-Clo1313_0080      	 0.00000000E+00
PROSYN-Clo1313_0083      	 1.80943105E-02
PROSYN-Clo1313_0098      	 0.00000000E+00
PROSYN-Clo1313_0099      	 0.00000000E+00
PROSYN-Clo1313_0100      	 4.09605661E-01
PROSYN-Clo1313_0101      	 2.67336948E+00
PROSYN-Clo1313_0102      	 0.00000000E+00
PROSYN-Clo1313_0108      	 0.00000000E+00
PROSYN-Clo1313_0109      	 0.00000000E+00
PROSYN-Clo1313_0110      	 0.00000000E+00
PROSYN-Clo1313_0111      	 0.00000000E+00
PROSYN-Clo1313_0112      	 0.00000000E+00
PROSYN-Clo1313_0113      	 0.00000000E+00
PROSYN-Clo1313_0114      	 0.00000000E+00
PROSYN-Clo1313_0115      	 0.00000000E+00
PROSYN-Clo1313_0116      	 0.00000000E+00
PROSYN-Clo1313_0117      	 0.00000000E+00
PROSYN-Clo1313_0118      	 0.00000000E+00
PROSYN-Clo1313_0119      	 4.95646409E-01
PROSYN-Clo1313_0120      	 4.95646409E-01
PROSYN-Clo1313_0122      	 0.00000000E+00
PROSYN-Clo1313_0124      	 7.90007902E-03
PROSYN-Clo1313_0137      	 0.00000000E+00
PROSYN-Clo1313_0138      	 0.00000000E+00
PROSYN-Clo1313_0139      	 0.00000000E+00
PROSYN-Clo1313_0142      	 0.00000000E+00
PROSYN-Clo1313_0144      	 6.06651237E-01
PROSYN-Clo1313_0145      	 0.00000000E+00
PROSYN-Clo1313_0146      	 0.00000000E+00
PROSYN-Clo1313_0147      	 0.00000000E+00
PROSYN-Clo1313_0148      	 0.00000000E+00
PROSYN-Clo1313_0152      	 0.00000000E+00
PROSYN-Clo1313_0165      	 0.00000000E+00
